sim	t	arm	reward	cum_reward
52	104	1	1.95061047575919	56.75622007965237
52	105	1	-0.11036579197794094	56.64585428767443
52	106	0	0.6310734732506375	57.27692776092507
52	107	0	0.09496788431812353	57.37189564524319
52	108	1	-0.6288223856674082	56.74307325957579
52	109	1	0.6666682261357457	57.409741485711535
52	110	0	0.3747520128724705	57.784493498584006
52	111	0	-0.11036045402727912	57.674133044556726
52	112	1	1.1596546105482395	58.83378765510496
52	113	1	-0.760060915117226	58.073726739987734
52	114	0	0.7622234528208927	58.835950192808625
52	115	0	-0.5287134617648394	58.30723673104379
52	116	0	1.996653429289883	60.30389016033367
52	117	0	0.5412920200354482	60.84518218036912
52	118	1	-0.6255899173171544	60.219592263051965
52	119	1	1.9140454122585777	62.133637675310545
52	120	1	-0.9686104763462933	61.16502719896425
52	121	1	0.04151110273228564	61.20653830169654
52	122	0	0.5541471543291201	61.76068545602566
52	123	0	0.3013937258108547	62.062079181836516
52	124	0	0.0057232824751267675	62.06780246431164
52	125	0	0.03353207112143186	62.101334535433075
52	126	0	0.1629817208503746	62.26431625628345
52	127	0	0.02467571486439002	62.28899197114784
52	128	1	1.436806357559083	63.72579832870692
52	129	0	0.16251465214176264	63.88831298084868
52	130	0	0.7525183476654784	64.64083132851415
52	131	0	1.0187738981223662	65.65960522663651
52	132	0	1.622648535640598	67.28225376227711
52	133	0	0.04953528098374027	67.33178904326086
52	134	1	0.8851107785191936	68.21689982178005
52	135	0	-0.27507471572122	67.94182510605883
52	136	1	-0.16037930520575672	67.78144580085308
52	137	1	1.046247852418835	68.82769365327191
52	138	1	0.7765455186101138	69.60423917188203
52	139	1	0.20270013629816147	69.80693930818019
52	140	1	1.427552952461738	71.23449226064193
52	141	1	-0.1509200927981451	71.08357216784378
52	142	0	0.10981951144634333	71.19339167929013
52	143	0	1.1077511148735324	72.30114279416367
52	144	1	0.15834751564784033	72.45949030981151
52	145	1	1.976914437225531	74.43640474703705
52	146	1	0.1421459355374352	74.57855068257447
52	147	0	1.7426776300894171	76.32122831266389
52	148	0	0.5832302577730906	76.90445857043699
52	149	1	0.16427348636300326	77.06873205679999
52	150	0	1.7917900315154984	78.86052208831549
52	151	1	0.3344758687855267	79.19499795710102
